001_00	Elif Lām Mīm Sād.
163_00	I upitaj ih o gradu koji se nalazio pored mora kad su propise o suboti kršili: kada su im ribe, na oči njihove, dolazile dok su subotu svetkovali, a kad nisu svetkovali, one im nisu dolazile.
163_01	Eto, tako smo ih u iskušenje dovodili zato što su stalno griješili.
164_00	A kad neki od njih rekoše: "Zašto opominjete narod koji će Allah uništiti ili ga teškim mukama namučiti?" – oni odgovoriše: "Da bismo se pred Gospodarom vašim opravdali
164_01	i da bi se oni grijeha klonili."
165_00	I kada zaboraviše ono čime su bili opominjani, Mi izbavismo one koji su od nevaljalih djela odvraćali, a teškom kaznom kaznismo grješnike, zato što su stalno u grijehu bili.
166_00	I pošto su oni bahato odbili da se okane onoga što im se zabranjivalo, Mi smo im rekli: "Postanite majmuni prezreni!"
167_00	I Gospodar tvoj obznani da će do Smaka svijeta prepuštati nad njima vlast nekome ko će ih na najgori način tlačiti.
167_01	Gospodar tvoj je, doista, brz kad kažnjava, a On oprašta i samilostan je.
168_00	I Mi smo ih po Zemlji kao narode raspodijelili: ima ih dobrih, a i onih koji to nisu; i u dobru i u zlu smo ih provjeravali da bi se opametili.
169_00	I poslije njih ostala su pokoljenja koja su Knjigu naslijedila i koja su kupila mrvice ovoga prolaznoga svijeta, i govorila: "Biće nam oprošteno!"
169_01	A ako bi im opet dopalo šaka tako nešto, opet bi to činili.
169_02	Zar od njih nije uzet zavjet u Knjizi – a oni čitaju ono što je u njoj – da će o Allahu samo istinu govoriti? Onaj svijet je bolji za one koji se grijeha klone; opametite se!
170_00	A oni koji se čvrsto drže Knjige i koji obavljaju molitvu – pa, Mi doista nećemo dopustiti da propadne nagrada onima koji čine dobra djela.
171_00	A kada smo iznad njih brdo podigli – činilo se kao oblak – oni su bili uvjereni da će na njih pasti. "Prihvatite odlučno ono što smo vam dali, i neka vam je na umu ono što je u njemu – da biste bili pobožni!"
172_00	I kad je Gospodar tvoj iz kičmi Ademovih sinova izveo potomstvo njihovo i zatražio od njih da posvjedoče protiv sebe: "Zar Ja nisam Gospodar vaš?"
172_01	– oni su odgovarali: "Jesi, mi svjedočimo" – i to zato da na Sudnjem danu ne reknete: "Mi o ovome ništa nismo znali."
173_00	Ili da ne reknete: "Naši preci su prije nas druge Allahu ravnim smatrali, a mi smo pokoljenje poslije njih. Zar ćeš nas kazniti za ono što su lažljivci činili?"
174_00	I tako, eto, Mi opširno iznosimo dokaze, da bi oni došli sebi.
175_00	I kaži im vijest o onome kome smo dokaze Naše dali, ali koji se od njih udaljio pa ga je šejtan dostigao, i on je zalutao.
176_00	A da smo htjeli, mogli smo ga s njima uzvisiti, ali se on ovome svijetu priklonio i za svojom strašću krenuo.
176_01	Njegov slučaj je kao slučaj psa: ako ga potjeraš on isplažena jezika dahće, a ako ga se okaniš on opet dahće.
176_02	Takvi su ljudi koji Naše dokaze smatraju lažnim; zato kazuj događaje da bi oni razmislili.
177_00	Loš su primjer ljudi koji ne priznaju Naše dokaze, oni zlo čine sami sebi.
178_00	Kome Allah ukaže na Pravi put – biće na Pravome putu, a koga ostavi u zabludi – taj će izgubljen biti.
179_00	Mi smo za Džehennem mnoge džine i ljude stvorili; oni srca imaju – a
179_01	njima ne shvaćaju, oni oči imaju – a njima ne vide, oni uši imaju – a njima ne čuju;
179_02	oni su kao stoka, čak i gori – oni su zaista nemarni.
180_00	Allah ima najljepša imena i vi Ga zovite njima, a klonite se onih koji iskreću Njegova imena – kako budu radili, onako će biti kažnjeni!
181_00	A među onima koje stvaramo ima ljudi koji druge upućuju istini i koji prema njoj pravedno sude.
182_00	A one koji Naše riječi poriču Mi ćemo malo-pomalo, a da oni neće ni znati, u propast voditi
183_00	i davaću im vremena, obmana Moja doista je trajna.
184_00	Pa zašto oni ne razmisle da njima poslani poslanik nije lud; on samo otvoreno opominje.
185_00	I zašto oni ne promisle o carstvu nebesa i Zemlje i o svemu onome što je On stvorio, i da im se, možda, kraj njihov primakao?
185_01	Pa u koje će riječi, ako ne u Kur'an, vjerovati?
186_00	Koga Allah u zabludi ostavi, niko ga ne može na Pravi put uputiti! On će ih ostaviti da u nevjerstvu svome lutaju.
187_00	Pitaju te o Smaku svijeta kada će se zbiti. Reci: "To zna jedino Gospodar moj, On će ga u njegovo vrijeme otkriti, a težak će biti nebesima i Zemlji, sasvim neočekivano će vam doći."
187_01	Pitaju te kao da ti o njemu nešto znaš. Reci: "To samo Allah zna, ali većina ljudi ne zna."
188_00	Reci: "Ja ne mogu ni samome sebi neku korist pribaviti, ni od sebe kakvu štetu otkloniti; biva onako kako Allah hoće.
188_01	A da znam pronicati u tajne, stekao bih mnoga dobra, a zlo bi bilo daleko od mene; ja samo donosim opomene i radosne vijesti ljudima koji vjeruju."
189_00	On je Taj koji vas od jednoga čovjeka stvara – a od njega je drúgu njegovu stvorio da se uz nju smiri.
189_01	I kada je on nju obljubio, ona je zanijela lahko breme i nosila ga; a kad joj je ono otežalo, njih dvoje su zamolili Allaha, Gospodara svoga: "Ako nam daruješ dobrog potomka, bićemo, zaista, zahvalni!"
190_00	I kad im je On darovao zdrava potomka, poslije su potomci njihovi izjednačili druge s Njim u onome što im On daje – a Allah je vrlo visoko iznad onih koje Njemu smatraju ravnim!
191_00	Zar da Njemu smatraju ravnim one koji ne mogu ništa stvoriti, a sami su stvoreni,
192_00	i koji im ne mogu pomoći niti mogu pomoći sebi?
193_00	A ako ih zamolite da vas na Pravi put upute, neće vam se odazvati; isto vam je molili ih ili šutjeli.
194_00	Oni kojima se vi, pored Allaha, klanjate, zaista su robovi, kao i vi. Pa, vi im se klanjajte, i neka vam se odazovu ako istinu govorite!
195_00	Imaju li oni noge da na njima hodaju, ili ruke da njima hvataju, imaju li oči da njima gledaju, ili uši da njima čuju?
195_01	Reci: "Zovite božanstva vaša, pa protiv mene kakvo hoćete lukavstvo smislite i ne odugovlačite,
196_00	moj zaštitnik je Allah, koji Knjigu objavljuje, i On se o dobrima brine."
197_00	A oni kojima se vi, pored Njega, klanjate, ne mogu ni vama, a ni sebi pomoći.
198_00	A kada ih zamolite da vas upute, oni ne čuju; vidiš ih kao da te gledaju, ali oni ne vide.
199_00	Ti sa svakim – lijepo! I traži da se čine dobra djela, a neznalica se kloni!
200_00	A ako šejtan pokuša da te na zlo navede, ti potraži utočište u Allaha, On uistinu sve čuje i zna.
201_00	Oni koji se Allaha boje, čim ih sablazan šejtanska dodirne, sjete se, i odjednom dođu sebi,
202_00	dok prijatelje šejtanove šejtani podržavaju u zabludi i oni ne dolaze sebi.
203_00	Kad im nijedan ajet ne doneseš, oni govore: "Zašto ga sam ne izmisliš!" – Reci: "Ja slijedim samo ono što mi Gospodar moj objavljuje.
203_01	Ovo su jasni dokazi od Gospodara vašeg i uputstvo i milost za ljude koji vjeruju.
204_00	A kad se uči Kur'an, vi ga slušajte i šutite da biste bili pomilovani."
205_00	I spominji Gospodara svoga ujutro i navečer u sebi, ponizno i sa strahopoštovanjem i ne podižući jako glas, i ne budi bezbrižan –
206_00	oni koji su bliski Gospodaru tvome doista ne zaziru da Mu se klanjaju; samo Njega hvale i samo pred Njim licem na tle padaju.
