001_00	Elif Lam Mim Sad.
146_00	Do t’i shmangi prej argumenteve të Mia, ata që madhështohen pa të drejtë në Tokë. Nëse shohin çfarëdo dokumenti; nuk e besojnë atë.
146_01	Nëse shohin rrugën e drejtë, nuk e ndjekin atë,
146_02	e nëse shohin rrugën e gabuar, e marrin atë – rrugë. Kjo është për shkak se ata i përgënjeshtruan dokumentet Tona dhe ishin të pakujdesshëm ndaj tyre.
147_00	E, ata që përgënjeshtruan argumentet Tona dhe takimin në botën tjetër, do t’u dështojnë veprat e tyre. Ata, nuk do të dënohen ndryshe, veç ashtu si kanë punuar.
148_00	Populli i Musait – pas shkuarjes së tij – filluan ta adhurojnë viçin e bërë nga stolisjet e tyre të arit – viç për kah pamja dhe pallja.
148_01	A nuk panë ata, se ai as nuk mund t’u fliste, as t’i udhëzojë në rrugë të drejtë. Ata morën këtë viç për adhurim dhe u bënë zullumqarë.
149_00	Dhe pasi u penduan shumë, pastaj dhe panë se janë trullosur, ata thanë: “Nëse Zoti ynë nuk na mëshiron dhe nuk na falë, me të vërtetë, do të jemi të humbur!”
150_00	E, kur Musai u kthye te populli i tij, i zemëruar dhe i pikëlluar, thirri: “Sa në mënyrë të shëmtuar jeni sjellë pas shkuarjes sime! A mos vallë e keni shpejtuar urdhërin e Zotit tuaj?” Dhe i hodhi pllakat (e Teuratit) e kapi vëllain për koke, duke ia afruar vetes.
150_01	(Haruni) i tha: “O djali nënës sime! Ky popull me të vërtetë, më konsideroi për të dobët dhe gati më mbytën.
150_02	Dhe, mos më turpëro para armiqëve dhe mos më numro në mesin e zullumqarëve”.
151_00	(Musai) tha: “O Zoti im, falëm mua dhe vëllain tim dhe shpiena në mëshirën Tënde! Ti je më mëshiruesi i mëshiruesve”.
152_00	Me të vërtetë, ata që morën viçin për zot të tyre, do t’i arrijë dënimi i Zotit dhe poshtërimi edhe në këtë jetë. Kështu Na i ndëshkojmë ata që na përgënjeshtrojnë.
153_00	E, ata që kanë punuar vepra të këqija, e pastaj janë penduar dhe janë bërë besimtarë, me të vërtetë, Zoti yt, pas kësaj, është falës dhe mëshirues.
154_00	Dhe, kur Musait i kaloi zemrimi, i mori pllakat, në të cilat ishte shënuar udhëzimi për rrugën e drejtë dhe mëshira për ata që i druajnë Zotit të tyre.
155_00	Dhe Musai zgjodhi nga populli i tij shtatëdhjetë njerëz, për caktimin Tonë. E, kur i goditi tërmeti, ai (Musai) tha: “O Zoti im! Sikur të doje Ti, do t’i zhdukje ata dhe mua që më përpara.
155_01	A do të na shkatërrosh, për ato vepra që kanë punuar budallenjtë tanë? Kjo është vetëm sprovë e Yte, me të cilën e shpie në humbje kënd të duash, kurse e udhëzon në rrugë të drejtë kënd të duash. Ti je i dashuri ynë, andaj fanla dhe mëshirona!
155_02	Ti je më i miri i mëshiruesve;
156_00	dhe caktona të mira neve në këtë botë dhe në tjetrën. Se, ne, me të vërtetë, te Ti kthehemi.”
156_01	(Perëndia) tha: “Unë e godas me dënimin Tim kë dua, e mëshira Ime përfshinë çdo gjë; ua jap atyre që ruhen nga mëkatet dhe japin zeqatin dhe atyre që u besojnë argumenteve Tona” ” ,
157_00	ata që ndjekin rrugën e Pejgamberit, lajmëtarit të fesë, i cili nuk di shkrim lexim (Muhammedi), të cilin ata e gjejnë të shënuar në Teurat dhe Inxhil, i urdhëron ata të bëjnë vepra të mira dhe i ndalon nga të këqiat,
157_01	ua lejon të mirat, e ua ndalon të këqiat dhe i liron nga barrët e rënda dhe vështirësitë që i kanë pasur.
157_02	Prandaj, ata që do të besojnë ate (Muhammedin), që do ta përkrahin dhe ndihmojnë, e do të ndjekin dritën që i është shpallur atij – vetëm ata janë të lumtur.
158_00	Thuaj: “O njerëz, unë jam Pejgamber i Perëndisë për të gjithë ju, i Atij që i përket pushteti mbi qiej dhe Tokë.
158_01	Vetëm Ai është i vetmi Zot, jeta dhe vdekja janë vepra të Tij, - prandaj besoni në Perëndinë dhe në të Dërguarin e Tij, lajmëtarin e fesë, i cili nuk di shkrim-lexim, i cili beson në Perëndinë dhe fjalët e Tij; shkoni pas tij – për të qenë në rrugën e drejtë!”
159_00	Në popullin e Musait ka disa njerëz që udhërrëfim e kanë të vërtetën dhe gjykojnë drejtë.
160_00	Na e kemi ndarë (popullin e Musait) në dymbëdhjetë fise dhe ia kemi shpallur Musait – kur populli i tij kërkoi ujë: “Bjeri me shkopin tënd shkëmbit!” Dhe rodhën nga ai dymbëdhjetë burime.
160_01	Çdo fis e dinte burimin e vet. Dhe, Ne, u kemi bërë hije me ré (për t’u freskuar) dhe u zbritëm – men – (një lloj ushqimi i ëmbël) dhe zogj (si fëllaza).
160_02	“Hani ushqime të mira të cilat ju kemi dhënë!” Ata nuk na dëmtuan Neve, por i bënë dëm vetvetes.
161_00	(Kujtoju atyre) kur u është thënë: “Vendosuni në këtë vendbanim dhe hani në të si të doni dhe thuani: “Falna mëkatet!
161_01	Dhe hyni të përulur në derë; e Na do t’u falim mëkatet dhe do t’u shtojmë bamirësve shpërblimin”, -
162_00	e atëherë, mëkatarët, ndërruan fjalët me tjera që nuk iu kanë thënë, dhe Na u dërguam atyre dëni nga qielli, sepse bënin zullum.
163_00	Pyeti ata për qytetin që gjendej në bregdet, kur ata e thyen dispozitën e së shtunës: atë ditë u vinin peshqit me shumicë, e ditëve tjera që nuk i kremtonin, nuk u vinin ata.
163_01	Kështu, Ne, ata i vënim në provë, sepse vënin mëkate.
164_00	(Kujtoje) kur disa prej tyre thanë: “Pse e këshilloni popullin, të cilin Perëndia do ta zhdukë ose do ta ndëshkojë
164_01	me ndëshkim të ashpër?” (Këshilltarët) u përgjegjën: “Për t’u arsyetuar para Zotit tuaj dhe për t’i ruajtur ata nga mëkatet”.
165_00	Dhe kur e harruan atë, për të cilën ishin këshilluar, Na i shpëtuam ata që të tjerët i pengonin nga të këqiat, kurse i ndëshkonim me ndëshkim të ashpër ata që bënin zullum, për shkak të mëkateve të tyre.
166_00	Meqë ata e refuzuan me mendjemadhësi, atë që u ishte ndaluar, Na ju thamë: “Bëhuni majmunë të urryer”.
167_00	(Kujtoje) kur Zoti yt ka paralajmëruar se do të dërgojë tek ata dikend, i cili do t’i mundojë, në mënyrën më të keqe, deri në Ditën e Kijametit.
167_01	Me të vërtetë, Zoti yt dënon shpejt, por Ai, është edhe falës e mëshirues.
168_00	Dhe Na, i kemi shpërndarë ata në Tokë si popuj: Disa prej tyre janë të mirë e disa jo. Na, i kemi vënë në sprovë ata me gjëra të mria dhe të këqia për (pendim) t’u kthyer.
169_00	Pas tyre erdh gjenerata, e cila e trashëgoi Librin (Teuratin), duke i marrë gjërat e kalueshme (pavlefshme) të kësaj bote. Dhe thonin: “Do të na falet!
169_01	E, nëse prapë u binte në dorë diçka e ngjashme, prapë e merrnin. Vallë, a nuk është marrë nga ana e tyre premtimi solemn në Libër (Teurat), që për Perëndinë të thonë vetëm të vërtetën.
169_02	E, ata, kanë mësuar çka ka në të (Libër): Bota tjetër (e përhershme) është më e mirë për besimtarët, prandaj, vallë a nuk e kuptoni këtë?!
170_00	E, ata që i përmbahen dispozitave të Librit dhe që e kryejnë namazin, - Na, me të vërtetë, nuk do t’u humbim shpërblimin të mirëve.
171_00	(Kujtoje) kur Na, ngritëm malin mbi ta, - që dukej si hije (ré), - e ata besonin se do të binte mbi ta. (Na u thamë atyre): “Merreni vendosmërisht atë që ua dhamë, dhe ta keni ndërmend atë që është në të (në tabelat e Teuratit), për t’u ruajtur nga të këqiat.
172_00	(Kujtoje) kur Zoti yt – nga korrizi i bijve të Ademit nxori pasardhësit e tyre dhe ata i bëri dëshmitar (të vërtetës) kundër vetes.
172_01	(Iu tha atyre): “A nuk jam Unë Zoti juaj?” Ata thanë: “Po, me të vërtetë”. Na ju kemi bërë dëshmitar që të mos thoni në Ditën e Kijametit: “Na për këtë nuk kemi qenë të informuar”.
173_00	Ose që të mos thoni: “Me të vërtetë, të parët tanë i kanë vënë shok Perëndisë para nesh, e ne jemi gjeneratë pas tyre. A mos vllë do të na shkatërrosh për atë çka kanë punuar të degjeneruarit?”
174_00	Dhe, kështu Na, hollësisht i shpjegojmë argumentet, për t’u kthyer ata (nga imitimi i të parëve).
175_00	Tregoju atyre për njeriun, të cilit Na ia kemi dhënë argumentet Tona, e i cili është zhveshur prej tyre, e djalli e ka bërë për vete, dhe, ai është bërë i humbur.
176_00	Sikur të donim Ne, do ta ngritnim atë (në shkallën e të mirëve) me argumentet Tona, por ai iu kthye tokës (kësaj jete) dhe ndoqi epshin e vet.
176_01	Shembulli tij është si shembulli i qenit: nëse e ndjekë, ai e qet gjuhën, nëse largohesh, ai, përsëri e qet gjuhën.
176_02	Ky është shembull i njerëzve, që i konsiderojnë gënjeshtra argumentet Tona. E, tregoju këto ngjarje, që të mendojnë ata.
177_00	I shëmtuar është shembulli i njerëzve që i konsiderojnë gënjeshtra argumentet Tona dhe i bëjnë vetvetes zullum.
178_00	Kë e udhëzon Perëndia, ai është i udhëzuar në rrugën e drejtë, e kë e humbë nga rruga e drejtë, ai është i dëmtuar.
179_00	Na kemi krijuar, me të vërtetë, shumë xhind dhe njerëz për xhehennem: ata kanë zemra (mend) me të cilat nuk kuptojnë, kanë sy me të cilët nuk shohin, kanë veshë me të cilët nuk dëgjojnë.
179_01	Ata janë si shtazë, madje, edhe më të zi.
179_02	Ata janë të pakujdesshëm.
180_00	Perëndisë i përkasin emrat më të bukur, andaj thirreni Atë me to (dhe lutjuni), e shmangiuni atyre që i shtrembërojnë emërat e Tij. Ata do të ndëshkohen ashtu si kanë vepruar.
181_00	E, në mesin e tyre qe kemi krijuar, ka njerëz që i udhëzojnë të tjerët në rrugën e drjetë dhe gjykojnë drejtë.
182_00	E, ata që i mohojnë argumentet Tona, Na, dalngadalë, do t’i shpiem kah shkatërrimi, pa e kuptuar ata, -
183_00	dhe do t’u japë afat atyre. Me të vërtetë, dënimi Im është i fortë.
184_00	A nuk mendojnë ata se shoku i tyre (Muhammedi), nuk ka kurrfarë marrëzie ai është vetëm paralajmërues i hapët.
185_00	A nuk e shohin ata perëndorinë e qiejve dhe të Tokës dhe të gjithë ato që i ka krijuar Perëndia dhe se ju ka afruar fundi i tyre (mohuesve).
185_01	Në çfarë fjale, pos Tij (Kur’anit), do të besojnë?
186_00	Kënd e la Perëndia në humbje, askush nuk mund ta udhëzojë atë në rrugë të drejtë! Ai do t’i lërë ata të bredhin në humbje.
187_00	Të pyesin ty kur do të ngjajë Dita e Kijametit. Thuaju: “Atë e di vetëm Zoti im. Kohën kur do të ndodhë ajo do ta tregojë vetëm Ai.
187_01	(Tmerret e Ditës së Kijametit) do të janë të rënda për qiejtë dhe Tokën, do t’u vijë krejtësisht papritmas. Të pyesin, thuase ti di diçka për të. Thuaj: “Këtë e di vetëm Perëndia; e shumica e njerëzve nuk e kuptojnë këtë (të vërtetë)”.
188_00	Thuaj: “Unë nuk mund t’i sjell vetes as dobi as dëm, përveç atë që don Perëndia.
188_01	E sikur t’i dija fshehtësitë, do t’i shumëzoja të mirat dhe nuk do të më prekte asnjë e keqe. Unë jam vetëm paralajmërues dhe sihariques për njerëzit që besojnë”.
189_00	Ai (Perëndia) u krijoi ju prej një njeriu dhe nga ai krijoi bashkëshorten e tij, që të qetësohet me të.
189_01	Dhe kur e mbuloi atë, ngarkuar me një barrë të lehtë, kali me të. E kur ajo u rëndua, ata të dy iu lutën Perëndisë, Zotit të tyre: “Nëse na dhuron pasardhës të shëndoshë, na, me të vërtetë, do të bëhemi falenderues!”
190_00	E kur Ai, ua dhuroi pasardhësit e shëndoshë, të dy gjinitë trilluan pastaj shok për Te; për atë që iu dha atyre. Por Perëndia, është shumë larg nga ato që ia trilluan paganët Atij!
191_00	A mos vllë ata ia trillojnë për shok (Zotit) atë që nuk mund të krijojë asgjë, kurse ata janë të krijuar.
192_00	As nuk mund t’u ndihmojnë gjë atyre, as t’i ndihmojnë vetes.
193_00	Nëse i thirrni ata (mohuesit) në rrugë të drejtë, nuk do t’u ndjekin ju: njësoj e keni – i thirrët apo nuk i thirrët.
194_00	Atyre që u luteni ju, përveç Perëndisë, janë robër si ju, prandaj thirrni ata që t’u përgjigjen, nëse thoni të vërtetën.
195_00	A kanë ata këmbë të ecin me to, ose duar të kapin me to, a kanë sy të shohin me ta, ose veshë të dëgjojnë me ta?
195_01	Thuaj: “Thirrni zotërat tuaj, e kundër meje trilloni çfarëdo dredhie e mos zvarrisni,
196_00	mbrojtësi im, me të vërtetë, është Perëndia, që e ka zbritur Librin dhe Ai kujdeset për të mirët.
197_00	E, ata që i adhuroni, përveç Tij, nuk mund t’u ndihmojnë as ju e as vetes.
198_00	Dhe nëse i thirrni në rrugën e drejtë, ata nuk dëgjojnë; ti i sheh thuajse po të shikojnë, por, ata nuk shohin.
199_00	Bëhu i matur (në sjellje ndaj tyre), urdhëro vepra të mira dhe shmangu nga xhahilat (injorantët)!
200_00	Nëse djalli përpiqet të të shpie nga e keqja, kërko strehim te Perëndia, se Ai, me të vërtetë, i dëgjon dhe i di të gjitha.
201_00	Me të vërtetë, ata që besojnë – kur i gjen ndonjë e keqe nga djalli, i kujtojnë (urdhërat e Perëndisë), e atëherë e shohin rrugën e drejtë,
202_00	e vëllezërit e tyre (të djallit) i shpien edhe më tej në humbje dhe nuk shmangën nga ajo.
203_00	E nëse nuk iu sjell ndonjë argument, ato thonë: “Ah! Sikur ta trilloje ti vetë!” Thuaj: (o Muhammed!): “Unë shkoj vetëm pas asaj që ma ka shpallur Zoti im”.
203_01	Këto janë argumente të qarta nga Zoti juaj, udhërrëfim dhe mëshirë për njerëzit që besojnë.
204_00	E kur të lexohet Kur’ani, ju dëgjonie dhe heshtni, për t’u mëshiruar.
205_00	Dhe në vete përmende Zotin tënd, me përulje dhe drojë – jo me zë të lartë, në mëngjes dhe mbrëmje, dhe mos u bën i pakujdesshëm,
206_00	me të vërtetë, ata që janë afër Zotit tënd, nuk ngurojnë ta adhurojnë Ate; vetëm Ate e lavdërojnë dhe vetëm para Tij bien në sexhde (me fytyrë për tokë).
